Parts,Description,Company,Product Number,Quantity for 1 rig,Price,Link
"Infrared Polyester Filter (3x3"")",,B&H Photo,87CP3,1,$16.00,https://www.bhphotovideo.com/c/product/292664-REG/LEE_Filters_87CP3_3_x_3_Infrared.html
,,,,,,
Wire Cutters Zip Tie Cutters Micro Flush Cutter 2 Pack 5 Inch Precision Wire Clippers,Electronics supplies,Amazon,‎43398-5857,1,$7.89,https://www.amazon.com/gp/product/B07FPBMQRZ/ref=ox_sc_act_title_1?smid=A3KZTX4VN6ZQ3J&psc=1
"Soldering Iron Kit, 80W 110V",Electronics supplies,Amazon,B08PZBPXLZ,1,$11.98,https://www.amazon.com/Liouhoum-Auto-Sleep-Adjustable-Temperature-Thermostatic/dp/B08PZBPXLZ/ref=sr_1_21?keywords=soldering+iron&qid=1672768014&refinements=p_85%3A2470955011%2Cp_72%3A1248909011&rnid=1248907011&rps=1&s=hi&sprefix=solder%2Caps%2C102&sr=1-21
WG-015 Professional 8-inch Wire Stripper,Electronics supplies,Amazon,B073YG65N2,1,$7.59,https://www.amazon.com/WGGE-Professional-crimping-Multi-Tool-Multi-Function/dp/B073YG65N2/ref=sr_1_9?crid=2N6VFFWNVL415&keywords=wire+stripper&qid=1672768204&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&s=hi&sprefix=wire+str%2Ctools%2C124&sr=1-9
Adjustable Helping Hand with Magnifying Glass,Electronics supplies,Amazon,B000P42O3C,1,$8.49,https://www.amazon.com/gp/product/B000P42O3C/ref=ox_sc_act_title_2?smid=ATVPDKIKX0DER&psc=1
,,,,,,
"1/8"" acrylic 12x12"" sheet",Photostimulation rig,McMaster-Carr,8560K191,2,$8.46,https://www.mcmaster.com/acrylic/clear-scratch-and-uv-resistant-cast-acrylic-sheets-bars-and-cubes/thickness~1-8/length~12/width~12/performance-properties~clear/
"1/8"" white delrin 12x12"" sheet",Photostimulation rig,McMaster-Carr,8573K13,1,$23.07,https://www.mcmaster.com/acetal/wear-resistant-easy-to-machine-delrin-acetal-resin-sheets-bars-and-strips/thickness~1-8/width~12/length~12/
"1/4"" wood project board (24x24"")",Photostimulation rig,Harware store,,4,,
"(optional) 1/4"" acrylic or white delrin for rig structure",Photostimulation rig,,,,,
